,YAL051W,YBL005W,YBL021C,YBL054W,YBL103C,YBR033W,YBR049C,YBR066C,YBR083W,YBR112C,YBR182C,YBR215W,YBR239C,YBR240C,YBR297W,YCL055W,YCR018C,YCR065W,YCR084C,YCR106W,YDL020C,YDL048C,YDL056W,YDL106C,YDL170W,YDL233W,YDR009W,YDR034C,YDR043C,YDR081C,YDR096W,YDR123C,YDR146C,YDR174W,YDR207C,YDR213W,YDR216W,YDR253C,YDR259C,YDR277C,YDR310C,YDR421W,YDR423C,YDR451C,YDR463W,YDR501W,YDR520C,YEL009C,YER028C,YER040W,YER045C,YER068W,YER088C,YER109C,YER111C,YER130C,YER169W,YER184C,YFL021W,YFL031W,YFL052W,YFR034C,YGL013C,YGL035C,YGL071W,YGL073W,YGL096W,YGL162W,YGL166W,YGL209W,YGL237C,YGL252C,YGL254W,YGR044C,YGR249W,YGR288W,YHL009C,YHL020C,YHL027W,YHR006W,YHR084W,YHR124W,YHR178W,YHR206W,YIL036W,YIL101C,YIL122W,YIL131C,YIR017C,YIR018W,YIR023W,YIR033W,YJL056C,YJL089W,YJL103C,YJL110C,YJL206C,YJR060W,YJR094C,YJR127C,YJR147W,YKL015W,YKL020C,YKL032C,YKL038W,YKL043W,YKL062W,YKL109W,YKL112W,YKL185W,YKR034W,YKR064W,YKR077W,YKR099W,YLR013W,YLR014C,YLR098C,YLR113W,YLR131C,YLR176C,YLR183C,YLR223C,YLR228C,YLR256W,YLR266C,YLR403W,YLR451W,YML007W,YML027W,YML051W,YML076C,YML081W,YML099C,YMR016C,YMR019W,YMR021C,YMR037C,YMR042W,YMR043W,YMR070W,YMR164C,YMR172W,YMR182C,YMR280C,YNL027W,YNL068C,YNL103W,YNL167C,YNL199C,YNL216W,YNL314W,YOL028C,YOL067C,YOL089C,YOL108C,YOL116W,YOR028C,YOR032C,YOR066W,YOR113W,YOR140W,YOR162C,YOR230W,YOR337W,YOR344C,YOR358W,YOR363C,YOR372C,YOR380W,YPL038W,YPL075W,YPL089C,YPL128C,YPL133C,YPL177C,YPL202C,YPL230W,YPL248C,YPR008W,YPR065W,YPR104C,YPR196W,YPR199C
YAL051W,0.0,0.2140970601963522,0.0,0.0,0.0,0.0,0.0,0.0,-0.356431267253943,-0.4980854610175219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3361868683757699,0.0,0.0,-0.0009994387150792,0.0,0.0,0.0,0.0,0.0,-0.4366949853944969,0.0,0.0,0.0,-2.2410950956302853e-05,0.0,-0.0655841583191289,0.0,0.0,-0.9801516381742807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0864283468473571,0.0,-0.5481046550300476,0.0,0.0,0.6987186883319816,0.0,-0.0002684638598991,-0.9594517978392564,0.0,0.0,0.6730554189920761,0.0,-0.0006721871540432,0.0,0.0,-7.984207174967223e-05,0.0001874361365456,0.0,0.0,-1.299957924402185,0.0,0.0,0.0,-0.1843214549786251,0.0,0.0,0.0,0.0006917691528227,0.0,0.0,0.0,0.0,0.0,0.0,-0.4235740090588144,-0.4148822080438024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003235787694319,0.0,0.0,0.0,0.0,0.0,0.0,-0.4641252223304141,-0.6148027395178496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5153230178742343,0.0,-0.1463040323132366,0.0,0.0,0.0,-0.5821482478588773,0.0,0.0442828851400475,0.0,0.0002352409907374,0.0,0.0,0.0,0.0,0.0,-0.1481980012660983,0.0,0.0,-0.0004259136245338,0.0,-0.0004112775985073,-0.064394457003218,0.0,0.0,0.0,0.0,0.0,0.0,-0.3297454680567186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002929841801751,0.0,0.0,0.0,0.1257541533162033,0.0,0.3705226924727267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1486042084527359,0.0,-0.6857080446183257,0.0,0.0,6.822600153074198e-06,0.0,0.0001247938052329,0
YBL005W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3289136531515923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
YBL021C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1418031067282829,0.0,-0.0002147133572103,0.0,0.0,0.0,0.0,0.0,0.0621615258161434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1513588155184457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1163353709970038,0.0,0.0,-0.0452360347972998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.629948315184535e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0020438133141745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018796538283736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1104087757109981,0.0,0.0,0
YBL054W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
YBL103C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.958236138715516e-06,0.0,-1.7521983615712954e-06,0.0,0.0,0.0,0.0,0.0,0.5218981190098552,0.0,0.0,0.0,0.911825083705194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.163266527319769e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.245143303901248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5401429557857e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
YBR033W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
YBR049C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3950307274320949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1676197650820646,0.0,0.0,0.0,0.0,0.0,0.0,-0.2956407662147974,-0.8597200870933476,0.0,0.0,0.0,0.0,0.0,-0.0003053062851211,0.0,0.1120798783054167,0.5862872893463624,0.0,0.0,0.0,0.0,-0.0257033461262162,0.0,0.0,-0.5922008840478301,0.0,0.0,0.1461053386372552,-0.1166650678657899,0.0,0.2528875736062954,0.0,-0.1863881753429531,7.513133546372917e-05,0.0,0.4187064077838829,0.0,0.0,0.194639842532664,6.116905373168018e-05,-0.7252662658373528,0.0,0.0,0.2478572318197784,0.0,0.0,-0.000284664529025,0.0,0.0,-0.8644778436277061,0.0,-0.5056773327779924,0.0,0.0,0.0,0.0,-0.7310963443077652,0.0,0.0,0.0,-0.0700609848687247,0.0,0.0,0.0,-0.0995422852367804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0067640647565316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8935810562285025,0.0887254396292119,0.0,0.0,0.0,0.0,0.0,-0.4162519218315756,0.0,0.0,0.0,0.2858290452973461,0.0,0.0,0.0,0.0,0.0,0.0905213194384027,0.0,0.0,0.0,0.3995528629925634,0.0,0.0,0.143609428776415,0.0,0.0,0.5891345248173552,0.0,-0.5650856718083831,0.0,-0.0073865773334048,-0.6248642019482588,-0.1910003802458985,0.0,0.0,-0.018074704346654,0.0,0.0003863934175548,0.1156308515712963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3234230226601038,0.0,0.0,-0.6181913820080583,0.0,-0.1007371557684134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
YBR066C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0155308146803611,0.0,-0.1506931564647023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0210678534335854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006179750476083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1267002867951066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007168117675837,0.0,0.0,0.0,0.0,0.0383082478339641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0574170152043493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2032300565720984,0.2070117527675817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0195344396306147,0
YBR083W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0118672641184577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0469711460361122,0.0,0.0,0.0,0.0,0.0,0.0120767424998686,0.0232469289543675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2736935392400348,0.0,0.0,0.0,0.0,0.1285428375183564,-0.036353969829007,0.0,0.0,-0.0677877576307149,0.0,0.0,0.0,0.0,0.0,-0.011462376038689,0.0,0.0,0.0,0.0131670066605663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0460480993668251,-0.2105931704382889,0.0,0.0,0.0,0.0,0.0,0.0,-0.1101656537534115,0.0,0.0,0.0,0.0,0.0,0.0281769992216889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0570420402583609,0.0213916305198509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1596342106862128,0.0931871263129164,0.0,0.0,0.0,0.0917566067310882,0.0,0.5925387193032966,0.0,-0.2598607588742437,0.0,0.0,-0.0243063710702298,0.0,0.0,0.0,0.0,0.0,0.0,0.3204852053802515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039401342422981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0090435149750128,0.0,0.0,0.0223031168031523,0.0494301691788983,0.0,0.0,0.0458800555525358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033424368931831,0.3764751790801302,0.0,0.0,0.0,0.0,0.0,0.0,-0.0384856953839633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0058939651261361,0.0,0.0,0.0,0.0,0.04052490919052,0.0,0.0,0
YBR112C,0.0,0.0,0.0,0.0,0.0,-2.7156874132050826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1832867666128901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.765706030865198e-05,0.0,3.898747410231661e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005995777077162,0.0,0.0,0.0,0.0,0.0001415391326603,0.0,0.0,0.0,-2.5065166075012124,0.0,0.0,0.0,0.0,0.0,0.0,-0.3617118141686782,0.0,0.0,0.0,-0.0183990243314747,0.0,-1.263327339757757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002575098710817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001298023447356,1.3729283841544475,0.0,0.0,0.0,0.0,2.828139140959232e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002789649217359,0.0,0.0,0.0,0.0,0.0,0.0,0.4323966366706888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.781457041053808e-05,0.0,0.0,0.0,0.0,0.0,-0.0001728825009253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002983712688474,-9.352394331821998e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0003452801089929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001681278455151,0.0,0.0,0
